Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;Box;Extra;Attend.;Arena;Notes;Type Game
Tue, Apr 11, 2023;7:30p;Atlanta Hawks;116;Miami Heat;105;Box Score;;19,662;Kaseya Center;Play-In Game;Play-In Tournament
Tue, Apr 11, 2023;10:00p;Minnesota Timberwolves;102;Los Angeles Lakers;108;Box Score;OT;18,997;Crypto.com Arena;Play-In Game;Play-In Tournament
Wed, Apr 12, 2023;7:00p;Chicago Bulls;109;Toronto Raptors;105;Box Score;;19,800;Scotiabank Arena;Play-In Game;Play-In Tournament
Wed, Apr 12, 2023;9:30p;Oklahoma City Thunder;123;New Orleans Pelicans;118;Box Score;;18,715;Smoothie King Center;Play-In Game;Play-In Tournament
Fri, Apr 14, 2023;7:00p;Chicago Bulls;91;Miami Heat;102;Box Score;;19,678;Kaseya Center;Play-In Game;Play-In Tournament
Fri, Apr 14, 2023;9:30p;Oklahoma City Thunder;95;Minnesota Timberwolves;120;Box Score;;19,304;Target Center;Play-In Game;Play-In Tournament
