Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;Box;Extra;Attend.;Arena;Notes;Type Game
Thu, Jun 1, 2023;8:30p;Miami Heat;93;Denver Nuggets;104;Box Score;;19,528;Ball Arena;;NBA Finals
Sun, Jun 4, 2023;8:00p;Miami Heat;111;Denver Nuggets;108;Box Score;;19,537;Ball Arena;;NBA Finals
Wed, Jun 7, 2023;8:30p;Denver Nuggets;109;Miami Heat;94;Box Score;;20,019;Kaseya Center;;NBA Finals
Fri, Jun 9, 2023;8:30p;Denver Nuggets;108;Miami Heat;95;Box Score;;20,184;Kaseya Center;;NBA Finals
Mon, Jun 12, 2023;8:30p;Miami Heat;89;Denver Nuggets;94;Box Score;;19,537;Ball Arena;;NBA Finals
