Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;Box;Extra;Attend.;Arena;Notes;Type Game;;Date;Visitor/Neutral;Result;;Date;Home/Neutral;Result
Fri, Oct 21, 2022;10:00p;Phoenix Suns;111;Portland Trail Blazers;113;Box Score;OT;19,393;Moda Center;;season;;Fri, Oct 21, 2022;Phoenix Suns;0;;Fri, Oct 21, 2022;Portland Trail Blazers;1
Sat, Oct 22, 2022;6:00p;San Antonio Spurs;114;Philadelphia 76ers;105;Box Score;;19,822;Wells Fargo Center;;season;;Sat, Oct 22, 2022;San Antonio Spurs;1;;Sat, Oct 22, 2022;Philadelphia 76ers;0
Sat, Oct 22, 2022;7:00p;Detroit Pistons;115;Indiana Pacers;124;Box Score;;16,056;Gainbridge Fieldhouse;;season;;Sat, Oct 22, 2022;Detroit Pistons;0;;Sat, Oct 22, 2022;Indiana Pacers;1
Sat, Oct 22, 2022;7:00p;Boston Celtics;126;Orlando Magic;120;Box Score;;19,299;Amway Center;;season;;Sat, Oct 22, 2022;Boston Celtics;1;;Sat, Oct 22, 2022;Orlando Magic;0
Sat, Oct 22, 2022;8:00p;Cleveland Cavaliers;128;Chicago Bulls;96;Box Score;;21,089;United Center;;season;;Sat, Oct 22, 2022;Cleveland Cavaliers;1;;Sat, Oct 22, 2022;Chicago Bulls;0
Sat, Oct 22, 2022;8:00p;Toronto Raptors;109;Miami Heat;112;Box Score;;19,600;Kaseya Center;;season;;Sat, Oct 22, 2022;Toronto Raptors;0;;Sat, Oct 22, 2022;Miami Heat;1
Sat, Oct 22, 2022;8:00p;Houston Rockets;105;Milwaukee Bucks;125;Box Score;;17,341;Fiserv Forum;;season;;Sat, Oct 22, 2022;Houston Rockets;0;;Sat, Oct 22, 2022;Milwaukee Bucks;1
Sat, Oct 22, 2022;8:30p;Memphis Grizzlies;96;Dallas Mavericks;137;Box Score;;20,377;American Airlines Center;;season;;Sat, Oct 22, 2022;Memphis Grizzlies;0;;Sat, Oct 22, 2022;Dallas Mavericks;1
Sat, Oct 22, 2022;9:00p;Oklahoma City Thunder;117;Denver Nuggets;122;Box Score;;19,983;Ball Arena;;season;;Sat, Oct 22, 2022;Oklahoma City Thunder;0;;Sat, Oct 22, 2022;Denver Nuggets;1
Sat, Oct 22, 2022;10:00p;Los Angeles Clippers;111;Sacramento Kings;109;Box Score;;16,296;Golden 1 Center;;season;;Sat, Oct 22, 2022;Los Angeles Clippers;1;;Sat, Oct 22, 2022;Sacramento Kings;0
Sun, Oct 23, 2022;3:30p;Portland Trail Blazers;106;Los Angeles Lakers;104;Box Score;;18,997;Crypto.com Arena;;season;;Sun, Oct 23, 2022;Portland Trail Blazers;1;;Sun, Oct 23, 2022;Los Angeles Lakers;0
Sun, Oct 23, 2022;5:00p;Charlotte Hornets;126;Atlanta Hawks;109;Box Score;;17,383;State Farm Arena;;season;;Sun, Oct 23, 2022;Charlotte Hornets;1;;Sun, Oct 23, 2022;Atlanta Hawks;0
Sun, Oct 23, 2022;7:00p;Washington Wizards;107;Cleveland Cavaliers;117;Box Score;OT;19,432;Rocket Mortgage Fieldhouse;;season;;Sun, Oct 23, 2022;Washington Wizards;0;;Sun, Oct 23, 2022;Cleveland Cavaliers;1
Sun, Oct 23, 2022;7:00p;Utah Jazz;122;New Orleans Pelicans;121;Box Score;OT;18,665;Smoothie King Center;;season;;Sun, Oct 23, 2022;Utah Jazz;1;;Sun, Oct 23, 2022;New Orleans Pelicans;0
Sun, Oct 23, 2022;8:00p;Minnesota Timberwolves;116;Oklahoma City Thunder;106;Box Score;;15,044;Paycom Center;;season;;Sun, Oct 23, 2022;Minnesota Timberwolves;1;;Sun, Oct 23, 2022;Oklahoma City Thunder;0
Sun, Oct 23, 2022;8:30p;Sacramento Kings;125;Golden State Warriors;130;Box Score;;18,064;Chase Center;;season;;Sun, Oct 23, 2022;Sacramento Kings;0;;Sun, Oct 23, 2022;Golden State Warriors;1
Sun, Oct 23, 2022;10:00p;Phoenix Suns;112;Los Angeles Clippers;95;Box Score;;19,068;Crypto.com Arena;;season;;Sun, Oct 23, 2022;Phoenix Suns;1;;Sun, Oct 23, 2022;Los Angeles Clippers;0
Mon, Oct 24, 2022;7:00p;Indiana Pacers;106;Philadelphia 76ers;120;Box Score;;19,786;Wells Fargo Center;;season;;Mon, Oct 24, 2022;Indiana Pacers;0;;Mon, Oct 24, 2022;Philadelphia 76ers;1
Mon, Oct 24, 2022;7:30p;Toronto Raptors;98;Miami Heat;90;Box Score;;19,600;Kaseya Center;;season;;Mon, Oct 24, 2022;Toronto Raptors;1;;Mon, Oct 24, 2022;Miami Heat;0
Mon, Oct 24, 2022;7:30p;Orlando Magic;102;New York Knicks;115;Box Score;;18,800;Madison Square Garden (IV);;season;;Mon, Oct 24, 2022;Orlando Magic;0;;Mon, Oct 24, 2022;New York Knicks;1
Mon, Oct 24, 2022;8:00p;Boston Celtics;102;Chicago Bulls;120;Box Score;;17,673;United Center;;season;;Mon, Oct 24, 2022;Boston Celtics;0;;Mon, Oct 24, 2022;Chicago Bulls;1
Mon, Oct 24, 2022;8:00p;Utah Jazz;108;Houston Rockets;114;Box Score;;16,260;Toyota Center;;season;;Mon, Oct 24, 2022;Utah Jazz;0;;Mon, Oct 24, 2022;Houston Rockets;1
Mon, Oct 24, 2022;8:00p;Brooklyn Nets;124;Memphis Grizzlies;134;Box Score;;17,392;FedEx Forum;;season;;Mon, Oct 24, 2022;Brooklyn Nets;0;;Mon, Oct 24, 2022;Memphis Grizzlies;1
Mon, Oct 24, 2022;8:00p;San Antonio Spurs;115;Minnesota Timberwolves;106;Box Score;;15,347;Target Center;;season;;Mon, Oct 24, 2022;San Antonio Spurs;1;;Mon, Oct 24, 2022;Minnesota Timberwolves;0
Mon, Oct 24, 2022;10:00p;Denver Nuggets;110;Portland Trail Blazers;135;Box Score;;18,111;Moda Center;;season;;Mon, Oct 24, 2022;Denver Nuggets;0;;Mon, Oct 24, 2022;Portland Trail Blazers;1
Tue, Oct 25, 2022;7:00p;Detroit Pistons;99;Washington Wizards;120;Box Score;;13,196;Capital One Arena;;season;;Tue, Oct 25, 2022;Detroit Pistons;0;;Tue, Oct 25, 2022;Washington Wizards;1
Tue, Oct 25, 2022;7:30p;Dallas Mavericks;111;New Orleans Pelicans;113;Box Score;;14,020;Smoothie King Center;;season;;Tue, Oct 25, 2022;Dallas Mavericks;0;;Tue, Oct 25, 2022;New Orleans Pelicans;1
