Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;Box;Extra;Attend.;Arena;Notes;Type Game;;Date;Visitor/Neutral;Result;;Date;Home/Neutral;Result
Fri, Nov 25, 2022;7:30p;Portland Trail Blazers;132;New York Knicks;129;Box Score;OT;19,812;Madison Square Garden (IV);;season;;Fri, Nov 25, 2022;Portland Trail Blazers;1;;Fri, Nov 25, 2022;New York Knicks;0
Fri, Nov 25, 2022;8:00p;Sacramento Kings;104;Boston Celtics;122;Box Score;;19,156;TD Garden;;season;;Fri, Nov 25, 2022;Sacramento Kings;0;;Fri, Nov 25, 2022;Boston Celtics;1
Fri, Nov 25, 2022;8:00p;Atlanta Hawks;122;Houston Rockets;128;Box Score;;16,669;Toyota Center;;season;;Fri, Nov 25, 2022;Atlanta Hawks;0;;Fri, Nov 25, 2022;Houston Rockets;1
Fri, Nov 25, 2022;8:00p;Brooklyn Nets;117;Indiana Pacers;128;Box Score;;15,404;Gainbridge Fieldhouse;;season;;Fri, Nov 25, 2022;Brooklyn Nets;0;;Fri, Nov 25, 2022;Indiana Pacers;1
Fri, Nov 25, 2022;8:00p;New Orleans Pelicans;111;Memphis Grizzlies;132;Box Score;;17,794;FedEx Forum;;season;;Fri, Nov 25, 2022;New Orleans Pelicans;0;;Fri, Nov 25, 2022;Memphis Grizzlies;1
Fri, Nov 25, 2022;8:00p;Washington Wizards;107;Miami Heat;110;Box Score;;19,600;Kaseya Center;;season;;Fri, Nov 25, 2022;Washington Wizards;0;;Fri, Nov 25, 2022;Miami Heat;1
Fri, Nov 25, 2022;8:00p;Cleveland Cavaliers;102;Milwaukee Bucks;117;Box Score;;17,447;Fiserv Forum;;season;;Fri, Nov 25, 2022;Cleveland Cavaliers;0;;Fri, Nov 25, 2022;Milwaukee Bucks;1
Fri, Nov 25, 2022;8:00p;Chicago Bulls;119;Oklahoma City Thunder;123;Box Score;OT;16,082;Paycom Center;;season;;Fri, Nov 25, 2022;Chicago Bulls;0;;Fri, Nov 25, 2022;Oklahoma City Thunder;1
Fri, Nov 25, 2022;8:00p;Los Angeles Lakers;105;San Antonio Spurs;94;Box Score;;18,354;AT&T Center;;season;;Fri, Nov 25, 2022;Los Angeles Lakers;1;;Fri, Nov 25, 2022;San Antonio Spurs;0
Fri, Nov 25, 2022;9:00p;Detroit Pistons;102;Phoenix Suns;108;Box Score;;17,071;Footprint Center;;season;;Fri, Nov 25, 2022;Detroit Pistons;0;;Fri, Nov 25, 2022;Phoenix Suns;1
Fri, Nov 25, 2022;10:00p;Utah Jazz;118;Golden State Warriors;129;Box Score;;18,064;Chase Center;;season;;Fri, Nov 25, 2022;Utah Jazz;0;;Fri, Nov 25, 2022;Golden State Warriors;1
Fri, Nov 25, 2022;10:30p;Denver Nuggets;114;Los Angeles Clippers;104;Box Score;;16,559;Crypto.com Arena;;season;;Fri, Nov 25, 2022;Denver Nuggets;1;;Fri, Nov 25, 2022;Los Angeles Clippers;0
Sat, Nov 26, 2022;5:00p;Dallas Mavericks;100;Toronto Raptors;105;Box Score;;19,800;Scotiabank Arena;;season;;Sat, Nov 26, 2022;Dallas Mavericks;0;;Sat, Nov 26, 2022;Toronto Raptors;1
Sat, Nov 26, 2022;8:00p;Oklahoma City Thunder;105;Houston Rockets;118;Box Score;;15,151;Toyota Center;;season;;Sat, Nov 26, 2022;Oklahoma City Thunder;0;;Sat, Nov 26, 2022;Houston Rockets;1
Sat, Nov 26, 2022;8:00p;Los Angeles Lakers;143;San Antonio Spurs;138;Box Score;;18,354;AT&T Center;;season;;Sat, Nov 26, 2022;Los Angeles Lakers;1;;Sat, Nov 26, 2022;San Antonio Spurs;0
Sat, Nov 26, 2022;9:00p;Utah Jazz;112;Phoenix Suns;113;Box Score;;17,071;Footprint Center;;season;;Sat, Nov 26, 2022;Utah Jazz;0;;Sat, Nov 26, 2022;Phoenix Suns;1
Sun, Nov 27, 2022;3:00p;Portland Trail Blazers;97;Brooklyn Nets;111;Box Score;;17,732;Barclays Center;;season;;Sun, Nov 27, 2022;Portland Trail Blazers;0;;Sun, Nov 27, 2022;Brooklyn Nets;1
Sun, Nov 27, 2022;3:30p;Golden State Warriors;137;Minnesota Timberwolves;114;Box Score;;17,136;Target Center;;season;;Sun, Nov 27, 2022;Golden State Warriors;1;;Sun, Nov 27, 2022;Minnesota Timberwolves;0
Sun, Nov 27, 2022;4:00p;Indiana Pacers;100;Los Angeles Clippers;114;Box Score;;16,805;Crypto.com Arena;;season;;Sun, Nov 27, 2022;Indiana Pacers;0;;Sun, Nov 27, 2022;Los Angeles Clippers;1
Sun, Nov 27, 2022;5:00p;Miami Heat;106;Atlanta Hawks;98;Box Score;;17,268;State Farm Arena;;season;;Sun, Nov 27, 2022;Miami Heat;1;;Sun, Nov 27, 2022;Atlanta Hawks;0
Sun, Nov 27, 2022;6:00p;Washington Wizards;121;Boston Celtics;130;Box Score;;19,156;TD Garden;;season;;Sun, Nov 27, 2022;Washington Wizards;0;;Sun, Nov 27, 2022;Boston Celtics;1
Sun, Nov 27, 2022;6:00p;Cleveland Cavaliers;102;Detroit Pistons;94;Box Score;;18,240;Little Caesars Arena;;season;;Sun, Nov 27, 2022;Cleveland Cavaliers;1;;Sun, Nov 27, 2022;Detroit Pistons;0
Sun, Nov 27, 2022;6:00p;Memphis Grizzlies;127;New York Knicks;123;Box Score;;19,524;Madison Square Garden (IV);;season;;Sun, Nov 27, 2022;Memphis Grizzlies;1;;Sun, Nov 27, 2022;New York Knicks;0
Sun, Nov 27, 2022;6:00p;Philadelphia 76ers;133;Orlando Magic;103;Box Score;;16,218;Amway Center;;season;;Sun, Nov 27, 2022;Philadelphia 76ers;1;;Sun, Nov 27, 2022;Orlando Magic;0
Sun, Nov 27, 2022;8:00p;Dallas Mavericks;115;Milwaukee Bucks;124;Box Score;;17,341;Fiserv Forum;;season;;Sun, Nov 27, 2022;Dallas Mavericks;0;;Sun, Nov 27, 2022;Milwaukee Bucks;1
Mon, Nov 28, 2022;7:00p;Atlanta Hawks;101;Philadelphia 76ers;104;Box Score;;19,778;Wells Fargo Center;;season;;Mon, Nov 28, 2022;Atlanta Hawks;0;;Mon, Nov 28, 2022;Philadelphia 76ers;1
Mon, Nov 28, 2022;7:00p;Minnesota Timberwolves;127;Washington Wizards;142;Box Score;;13,515;Capital One Arena;;season;;Mon, Nov 28, 2022;Minnesota Timberwolves;0;;Mon, Nov 28, 2022;Washington Wizards;1
Mon, Nov 28, 2022;7:30p;Charlotte Hornets;105;Boston Celtics;140;Box Score;;19,156;TD Garden;;season;;Mon, Nov 28, 2022;Charlotte Hornets;0;;Mon, Nov 28, 2022;Boston Celtics;1
Mon, Nov 28, 2022;7:30p;Orlando Magic;102;Brooklyn Nets;109;Box Score;;15,704;Barclays Center;;season;;Mon, Nov 28, 2022;Orlando Magic;0;;Mon, Nov 28, 2022;Brooklyn Nets;1
Mon, Nov 28, 2022;7:30p;Cleveland Cavaliers;88;Toronto Raptors;100;Box Score;;19,800;Scotiabank Arena;;season;;Mon, Nov 28, 2022;Cleveland Cavaliers;0;;Mon, Nov 28, 2022;Toronto Raptors;1
Mon, Nov 28, 2022;8:00p;Oklahoma City Thunder;101;New Orleans Pelicans;105;Box Score;;13,109;Smoothie King Center;;season;;Mon, Nov 28, 2022;Oklahoma City Thunder;0;;Mon, Nov 28, 2022;New Orleans Pelicans;1
Mon, Nov 28, 2022;9:00p;Houston Rockets;113;Denver Nuggets;129;Box Score;;16,027;Ball Arena;;season;;Mon, Nov 28, 2022;Houston Rockets;0;;Mon, Nov 28, 2022;Denver Nuggets;1
Mon, Nov 28, 2022;9:00p;Chicago Bulls;114;Utah Jazz;107;Box Score;;18,206;Vivint Arena;;season;;Mon, Nov 28, 2022;Chicago Bulls;1;;Mon, Nov 28, 2022;Utah Jazz;0
Mon, Nov 28, 2022;10:00p;Phoenix Suns;122;Sacramento Kings;117;Box Score;;16,407;Golden 1 Center;;season;;Mon, Nov 28, 2022;Phoenix Suns;1;;Mon, Nov 28, 2022;Sacramento Kings;0
Mon, Nov 28, 2022;10:30p;Indiana Pacers;116;Los Angeles Lakers;115;Box Score;;16,034;Crypto.com Arena;;season;;Mon, Nov 28, 2022;Indiana Pacers;1;;Mon, Nov 28, 2022;Los Angeles Lakers;0
Tue, Nov 29, 2022;7:00p;New York Knicks;140;Detroit Pistons;110;Box Score;;14,864;Little Caesars Arena;;season;;Tue, Nov 29, 2022;New York Knicks;1;;Tue, Nov 29, 2022;Detroit Pistons;0
Tue, Nov 29, 2022;7:30p;Golden State Warriors;113;Dallas Mavericks;116;Box Score;;20,277;American Airlines Center;;season;;Tue, Nov 29, 2022;Golden State Warriors;0;;Tue, Nov 29, 2022;Dallas Mavericks;1
Tue, Nov 29, 2022;10:00p;Los Angeles Clippers;118;Portland Trail Blazers;112;Box Score;;17,251;Moda Center;;season;;Tue, Nov 29, 2022;Los Angeles Clippers;1;;Tue, Nov 29, 2022;Portland Trail Blazers;0
Wed, Nov 30, 2022;7:00p;Philadelphia 76ers;85;Cleveland Cavaliers;113;Box Score;;19,432;Rocket Mortgage Fieldhouse;;season;;Wed, Nov 30, 2022;Philadelphia 76ers;0;;Wed, Nov 30, 2022;Cleveland Cavaliers;1
Wed, Nov 30, 2022;7:00p;Atlanta Hawks;125;Orlando Magic;108;Box Score;;15,344;Amway Center;;season;;Wed, Nov 30, 2022;Atlanta Hawks;1;;Wed, Nov 30, 2022;Orlando Magic;0
Wed, Nov 30, 2022;7:30p;Miami Heat;121;Boston Celtics;134;Box Score;;19,156;TD Garden;;season;;Wed, Nov 30, 2022;Miami Heat;0;;Wed, Nov 30, 2022;Boston Celtics;1
Wed, Nov 30, 2022;7:30p;Washington Wizards;107;Brooklyn Nets;113;Box Score;;15,963;Barclays Center;;season;;Wed, Nov 30, 2022;Washington Wizards;0;;Wed, Nov 30, 2022;Brooklyn Nets;1
Wed, Nov 30, 2022;7:30p;Milwaukee Bucks;109;New York Knicks;103;Box Score;;17,277;Madison Square Garden (IV);;season;;Wed, Nov 30, 2022;Milwaukee Bucks;1;;Wed, Nov 30, 2022;New York Knicks;0
Wed, Nov 30, 2022;8:00p;Memphis Grizzlies;101;Minnesota Timberwolves;109;Box Score;;15,980;Target Center;;season;;Wed, Nov 30, 2022;Memphis Grizzlies;0;;Wed, Nov 30, 2022;Minnesota Timberwolves;1
Wed, Nov 30, 2022;8:00p;Toronto Raptors;108;New Orleans Pelicans;126;Box Score;;14,845;Smoothie King Center;;season;;Wed, Nov 30, 2022;Toronto Raptors;0;;Wed, Nov 30, 2022;New Orleans Pelicans;1
Wed, Nov 30, 2022;8:00p;San Antonio Spurs;111;Oklahoma City Thunder;119;Box Score;;15,605;Paycom Center;;season;;Wed, Nov 30, 2022;San Antonio Spurs;0;;Wed, Nov 30, 2022;Oklahoma City Thunder;1
Wed, Nov 30, 2022;9:00p;Houston Rockets;100;Denver Nuggets;120;Box Score;;16,286;Ball Arena;;season;;Wed, Nov 30, 2022;Houston Rockets;0;;Wed, Nov 30, 2022;Denver Nuggets;1
Wed, Nov 30, 2022;9:00p;Chicago Bulls;113;Phoenix Suns;132;Box Score;;17,071;Footprint Center;;season;;Wed, Nov 30, 2022;Chicago Bulls;0;;Wed, Nov 30, 2022;Phoenix Suns;1
Wed, Nov 30, 2022;9:00p;Los Angeles Clippers;112;Utah Jazz;125;Box Score;;18,206;Vivint Arena;;season;;Wed, Nov 30, 2022;Los Angeles Clippers;0;;Wed, Nov 30, 2022;Utah Jazz;1
Wed, Nov 30, 2022;10:00p;Indiana Pacers;114;Sacramento Kings;137;Box Score;;17,611;Golden 1 Center;;season;;Wed, Nov 30, 2022;Indiana Pacers;0;;Wed, Nov 30, 2022;Sacramento Kings;1
Wed, Nov 30, 2022;10:30p;Portland Trail Blazers;109;Los Angeles Lakers;128;Box Score;;18,560;Crypto.com Arena;;season;;Wed, Nov 30, 2022;Portland Trail Blazers;0;;Wed, Nov 30, 2022;Los Angeles Lakers;1
Thu, Dec 1, 2022;7:00p;Dallas Mavericks;125;Detroit Pistons;131;Box Score;OT;18,106;Little Caesars Arena;;season;;Thu, Dec 1, 2022;Dallas Mavericks;0;;Thu, Dec 1, 2022;Detroit Pistons;1
Fri, Dec 2, 2022;7:00p;Washington Wizards;116;Charlotte Hornets;117;Box Score;;15,231;Spectrum Center;;season;;Fri, Dec 2, 2022;Washington Wizards;0;;Fri, Dec 2, 2022;Charlotte Hornets;1
Fri, Dec 2, 2022;7:30p;Denver Nuggets;109;Atlanta Hawks;117;Box Score;;16,974;State Farm Arena;;season;;Fri, Dec 2, 2022;Denver Nuggets;0;;Fri, Dec 2, 2022;Atlanta Hawks;1
Fri, Dec 2, 2022;7:30p;Miami Heat;120;Boston Celtics;116;Box Score;OT;19,156;TD Garden;;season;;Fri, Dec 2, 2022;Miami Heat;1;;Fri, Dec 2, 2022;Boston Celtics;0
Fri, Dec 2, 2022;7:30p;Toronto Raptors;105;Brooklyn Nets;114;Box Score;;17,732;Barclays Center;;season;;Fri, Dec 2, 2022;Toronto Raptors;0;;Fri, Dec 2, 2022;Brooklyn Nets;1
Fri, Dec 2, 2022;7:30p;Orlando Magic;96;Cleveland Cavaliers;107;Box Score;;19,432;Rocket Mortgage Fieldhouse;;season;;Fri, Dec 2, 2022;Orlando Magic;0;;Fri, Dec 2, 2022;Cleveland Cavaliers;1
Fri, Dec 2, 2022;7:30p;Los Angeles Lakers;133;Milwaukee Bucks;129;Box Score;;17,938;Fiserv Forum;;season;;Fri, Dec 2, 2022;Los Angeles Lakers;1;;Fri, Dec 2, 2022;Milwaukee Bucks;0
Fri, Dec 2, 2022;8:00p;Philadelphia 76ers;109;Memphis Grizzlies;117;Box Score;;17,022;FedEx Forum;;season;;Fri, Dec 2, 2022;Philadelphia 76ers;0;;Fri, Dec 2, 2022;Memphis Grizzlies;1
Fri, Dec 2, 2022;8:00p;New Orleans Pelicans;117;San Antonio Spurs;99;Box Score;;17,202;AT&T Center;;season;;Fri, Dec 2, 2022;New Orleans Pelicans;1;;Fri, Dec 2, 2022;San Antonio Spurs;0
Fri, Dec 2, 2022;9:00p;Houston Rockets;122;Phoenix Suns;121;Box Score;;17,071;Footprint Center;;season;;Fri, Dec 2, 2022;Houston Rockets;1;;Fri, Dec 2, 2022;Phoenix Suns;0
Fri, Dec 2, 2022;9:00p;Indiana Pacers;119;Utah Jazz;139;Box Score;;18,206;Vivint Arena;;season;;Fri, Dec 2, 2022;Indiana Pacers;0;;Fri, Dec 2, 2022;Utah Jazz;1
Fri, Dec 2, 2022;10:00p;Chicago Bulls;111;Golden State Warriors;119;Box Score;;18,064;Chase Center;;season;;Fri, Dec 2, 2022;Chicago Bulls;0;;Fri, Dec 2, 2022;Golden State Warriors;1
Sat, Dec 3, 2022;12:30p;Dallas Mavericks;121;New York Knicks;100;Box Score;;18,319;Madison Square Garden (IV);;season;;Sat, Dec 3, 2022;Dallas Mavericks;1;;Sat, Dec 3, 2022;New York Knicks;0
Sat, Dec 3, 2022;4:00p;Sacramento Kings;123;Los Angeles Clippers;96;Box Score;;16,587;Crypto.com Arena;;season;;Sat, Dec 3, 2022;Sacramento Kings;1;;Sat, Dec 3, 2022;Los Angeles Clippers;0
Sat, Dec 3, 2022;6:00p;Milwaukee Bucks;105;Charlotte Hornets;96;Box Score;;18,128;Spectrum Center;;season;;Sat, Dec 3, 2022;Milwaukee Bucks;1;;Sat, Dec 3, 2022;Charlotte Hornets;0
Sat, Dec 3, 2022;8:00p;Oklahoma City Thunder;135;Minnesota Timberwolves;128;Box Score;;17,136;Target Center;;season;;Sat, Dec 3, 2022;Oklahoma City Thunder;1;;Sat, Dec 3, 2022;Minnesota Timberwolves;0
Sat, Dec 3, 2022;8:00p;Orlando Magic;108;Toronto Raptors;121;Box Score;;19,800;Scotiabank Arena;;season;;Sat, Dec 3, 2022;Orlando Magic;0;;Sat, Dec 3, 2022;Toronto Raptors;1
Sat, Dec 3, 2022;8:30p;Houston Rockets;101;Golden State Warriors;120;Box Score;;18,064;Chase Center;;season;;Sat, Dec 3, 2022;Houston Rockets;0;;Sat, Dec 3, 2022;Golden State Warriors;1
Sat, Dec 3, 2022;9:00p;Portland Trail Blazers;116;Utah Jazz;111;Box Score;;18,206;Vivint Arena;;season;;Sat, Dec 3, 2022;Portland Trail Blazers;1;;Sat, Dec 3, 2022;Utah Jazz;0
Sun, Dec 4, 2022;3:30p;Denver Nuggets;106;New Orleans Pelicans;121;Box Score;;15,658;Smoothie King Center;;season;;Sun, Dec 4, 2022;Denver Nuggets;0;;Sun, Dec 4, 2022;New Orleans Pelicans;1
Sun, Dec 4, 2022;4:00p;Phoenix Suns;133;San Antonio Spurs;95;Box Score;;16,409;AT&T Center;;season;;Sun, Dec 4, 2022;Phoenix Suns;1;;Sun, Dec 4, 2022;San Antonio Spurs;0
Sun, Dec 4, 2022;6:00p;Boston Celtics;103;Brooklyn Nets;92;Box Score;;18,043;Barclays Center;;season;;Sun, Dec 4, 2022;Boston Celtics;1;;Sun, Dec 4, 2022;Brooklyn Nets;0
Sun, Dec 4, 2022;6:00p;Memphis Grizzlies;122;Detroit Pistons;112;Box Score;;20,088;Little Caesars Arena;;season;;Sun, Dec 4, 2022;Memphis Grizzlies;1;;Sun, Dec 4, 2022;Detroit Pistons;0
Sun, Dec 4, 2022;6:00p;Cleveland Cavaliers;81;New York Knicks;92;Box Score;;19,007;Madison Square Garden (IV);;season;;Sun, Dec 4, 2022;Cleveland Cavaliers;0;;Sun, Dec 4, 2022;New York Knicks;1
Sun, Dec 4, 2022;6:00p;Chicago Bulls;101;Sacramento Kings;110;Box Score;;17,611;Golden 1 Center;;season;;Sun, Dec 4, 2022;Chicago Bulls;0;;Sun, Dec 4, 2022;Sacramento Kings;1
Sun, Dec 4, 2022;6:00p;Los Angeles Lakers;130;Washington Wizards;119;Box Score;;19,647;Capital One Arena;;season;;Sun, Dec 4, 2022;Los Angeles Lakers;1;;Sun, Dec 4, 2022;Washington Wizards;0
Sun, Dec 4, 2022;9:00p;Indiana Pacers;100;Portland Trail Blazers;116;Box Score;;17,479;Moda Center;;season;;Sun, Dec 4, 2022;Indiana Pacers;0;;Sun, Dec 4, 2022;Portland Trail Blazers;1
Mon, Dec 5, 2022;7:00p;Los Angeles Clippers;119;Charlotte Hornets;117;Box Score;;13,945;Spectrum Center;;season;;Mon, Dec 5, 2022;Los Angeles Clippers;1;;Mon, Dec 5, 2022;Charlotte Hornets;0
Mon, Dec 5, 2022;7:00p;Milwaukee Bucks;109;Orlando Magic;102;Box Score;;16,174;Amway Center;;season;;Mon, Dec 5, 2022;Milwaukee Bucks;1;;Mon, Dec 5, 2022;Orlando Magic;0
Mon, Dec 5, 2022;7:30p;Oklahoma City Thunder;121;Atlanta Hawks;114;Box Score;;16,301;State Farm Arena;;season;;Mon, Dec 5, 2022;Oklahoma City Thunder;1;;Mon, Dec 5, 2022;Atlanta Hawks;0
Mon, Dec 5, 2022;7:30p;Boston Celtics;116;Toronto Raptors;110;Box Score;;19,800;Scotiabank Arena;;season;;Mon, Dec 5, 2022;Boston Celtics;1;;Mon, Dec 5, 2022;Toronto Raptors;0
Mon, Dec 5, 2022;8:00p;Philadelphia 76ers;123;Houston Rockets;132;Box Score;2OT;15,331;Toyota Center;;season;;Mon, Dec 5, 2022;Philadelphia 76ers;0;;Mon, Dec 5, 2022;Houston Rockets;1
Mon, Dec 5, 2022;8:00p;Miami Heat;93;Memphis Grizzlies;101;Box Score;;16,122;FedEx Forum;;season;;Mon, Dec 5, 2022;Miami Heat;0;;Mon, Dec 5, 2022;Memphis Grizzlies;1
Mon, Dec 5, 2022;8:30p;Phoenix Suns;111;Dallas Mavericks;130;Box Score;;20,227;American Airlines Center;;season;;Mon, Dec 5, 2022;Phoenix Suns;0;;Mon, Dec 5, 2022;Dallas Mavericks;1
Mon, Dec 5, 2022;10:00p;Indiana Pacers;112;Golden State Warriors;104;Box Score;;18,064;Chase Center;;season;;Mon, Dec 5, 2022;Indiana Pacers;1;;Mon, Dec 5, 2022;Golden State Warriors;0
Tue, Dec 6, 2022;7:30p;Los Angeles Lakers;102;Cleveland Cavaliers;116;Box Score;;19,432;Rocket Mortgage Fieldhouse;;season;;Tue, Dec 6, 2022;Los Angeles Lakers;0;;Tue, Dec 6, 2022;Cleveland Cavaliers;1
Tue, Dec 6, 2022;7:30p;Detroit Pistons;116;Miami Heat;96;Box Score;;19,600;Kaseya Center;;season;;Tue, Dec 6, 2022;Detroit Pistons;1;;Tue, Dec 6, 2022;Miami Heat;0
Tue, Dec 6, 2022;10:00p;Dallas Mavericks;116;Denver Nuggets;115;Box Score;;19,520;Ball Arena;;season;;Tue, Dec 6, 2022;Dallas Mavericks;1;;Tue, Dec 6, 2022;Denver Nuggets;0
Wed, Dec 7, 2022;7:00p;Los Angeles Clippers;111;Orlando Magic;116;Box Score;OT;14,429;Amway Center;;season;;Wed, Dec 7, 2022;Los Angeles Clippers;0;;Wed, Dec 7, 2022;Orlando Magic;1
Wed, Dec 7, 2022;7:30p;Charlotte Hornets;116;Brooklyn Nets;122;Box Score;;16,903;Barclays Center;;season;;Wed, Dec 7, 2022;Charlotte Hornets;0;;Wed, Dec 7, 2022;Brooklyn Nets;1
Wed, Dec 7, 2022;7:30p;Atlanta Hawks;89;New York Knicks;113;Box Score;;18,091;Madison Square Garden (IV);;season;;Wed, Dec 7, 2022;Atlanta Hawks;0;;Wed, Dec 7, 2022;New York Knicks;1
Wed, Dec 7, 2022;7:30p;Los Angeles Lakers;113;Toronto Raptors;126;Box Score;;19,800;Scotiabank Arena;;season;;Wed, Dec 7, 2022;Los Angeles Lakers;0;;Wed, Dec 7, 2022;Toronto Raptors;1
Wed, Dec 7, 2022;8:00p;Washington Wizards;111;Chicago Bulls;115;Box Score;;19,265;United Center;;season;;Wed, Dec 7, 2022;Washington Wizards;0;;Wed, Dec 7, 2022;Chicago Bulls;1
Wed, Dec 7, 2022;8:00p;Oklahoma City Thunder;102;Memphis Grizzlies;123;Box Score;;15,942;FedEx Forum;;season;;Wed, Dec 7, 2022;Oklahoma City Thunder;0;;Wed, Dec 7, 2022;Memphis Grizzlies;1
Wed, Dec 7, 2022;8:00p;Sacramento Kings;113;Milwaukee Bucks;126;Box Score;;17,341;Fiserv Forum;;season;;Wed, Dec 7, 2022;Sacramento Kings;0;;Wed, Dec 7, 2022;Milwaukee Bucks;1
Wed, Dec 7, 2022;8:00p;Indiana Pacers;115;Minnesota Timberwolves;121;Box Score;;15,472;Target Center;;season;;Wed, Dec 7, 2022;Indiana Pacers;0;;Wed, Dec 7, 2022;Minnesota Timberwolves;1
Wed, Dec 7, 2022;8:00p;Detroit Pistons;98;New Orleans Pelicans;104;Box Score;;14,073;Smoothie King Center;;season;;Wed, Dec 7, 2022;Detroit Pistons;0;;Wed, Dec 7, 2022;New Orleans Pelicans;1
Wed, Dec 7, 2022;9:00p;Golden State Warriors;123;Utah Jazz;124;Box Score;;18,206;Vivint Arena;;season;;Wed, Dec 7, 2022;Golden State Warriors;0;;Wed, Dec 7, 2022;Utah Jazz;1
Wed, Dec 7, 2022;10:00p;Boston Celtics;125;Phoenix Suns;98;Box Score;;17,071;Footprint Center;;season;;Wed, Dec 7, 2022;Boston Celtics;1;;Wed, Dec 7, 2022;Phoenix Suns;0
Thu, Dec 8, 2022;7:30p;Los Angeles Clippers;110;Miami Heat;115;Box Score;;19,600;Kaseya Center;;season;;Thu, Dec 8, 2022;Los Angeles Clippers;0;;Thu, Dec 8, 2022;Miami Heat;1
Thu, Dec 8, 2022;8:30p;Houston Rockets;109;San Antonio Spurs;118;Box Score;;13,140;AT&T Center;;season;;Thu, Dec 8, 2022;Houston Rockets;0;;Thu, Dec 8, 2022;San Antonio Spurs;1
Thu, Dec 8, 2022;10:00p;Denver Nuggets;121;Portland Trail Blazers;120;Box Score;;18,189;Moda Center;;season;;Thu, Dec 8, 2022;Denver Nuggets;1;;Thu, Dec 8, 2022;Portland Trail Blazers;0
Fri, Dec 9, 2022;7:00p;New York Knicks;121;Charlotte Hornets;102;Box Score;;17,696;Spectrum Center;;season;;Fri, Dec 9, 2022;New York Knicks;1;;Fri, Dec 9, 2022;Charlotte Hornets;0
Fri, Dec 9, 2022;7:00p;Washington Wizards;111;Indiana Pacers;121;Box Score;;15,039;Gainbridge Fieldhouse;;season;;Fri, Dec 9, 2022;Washington Wizards;0;;Fri, Dec 9, 2022;Indiana Pacers;1
Fri, Dec 9, 2022;7:00p;Toronto Raptors;109;Orlando Magic;113;Box Score;;17,008;Amway Center;;season;;Fri, Dec 9, 2022;Toronto Raptors;0;;Fri, Dec 9, 2022;Orlando Magic;1
Fri, Dec 9, 2022;7:30p;Atlanta Hawks;116;Brooklyn Nets;120;Box Score;;18,072;Barclays Center;;season;;Fri, Dec 9, 2022;Atlanta Hawks;0;;Fri, Dec 9, 2022;Brooklyn Nets;1
Fri, Dec 9, 2022;7:30p;Sacramento Kings;106;Cleveland Cavaliers;95;Box Score;;19,432;Rocket Mortgage Fieldhouse;;season;;Fri, Dec 9, 2022;Sacramento Kings;1;;Fri, Dec 9, 2022;Cleveland Cavaliers;0
Fri, Dec 9, 2022;7:30p;Los Angeles Lakers;122;Philadelphia 76ers;133;Box Score;OT;20,852;Wells Fargo Center;;season;;Fri, Dec 9, 2022;Los Angeles Lakers;0;;Fri, Dec 9, 2022;Philadelphia 76ers;1
Fri, Dec 9, 2022;8:00p;Detroit Pistons;103;Memphis Grizzlies;114;Box Score;;17,103;FedEx Forum;;season;;Fri, Dec 9, 2022;Detroit Pistons;0;;Fri, Dec 9, 2022;Memphis Grizzlies;1
Fri, Dec 9, 2022;8:30p;Phoenix Suns;117;New Orleans Pelicans;128;Box Score;;16,381;Smoothie King Center;;season;;Fri, Dec 9, 2022;Phoenix Suns;0;;Fri, Dec 9, 2022;New Orleans Pelicans;1
Fri, Dec 9, 2022;9:00p;Minnesota Timberwolves;118;Utah Jazz;108;Box Score;;18,206;Vivint Arena;;season;;Fri, Dec 9, 2022;Minnesota Timberwolves;1;;Fri, Dec 9, 2022;Utah Jazz;0
Fri, Dec 9, 2022;10:00p;Milwaukee Bucks;106;Dallas Mavericks;105;Box Score;;20,277;American Airlines Center;;season;;Fri, Dec 9, 2022;Milwaukee Bucks;1;;Fri, Dec 9, 2022;Dallas Mavericks;0
Sat, Dec 10, 2022;5:00p;San Antonio Spurs;115;Miami Heat;111;Box Score;;19,600;Kaseya Center;;season;;Sat, Dec 10, 2022;San Antonio Spurs;1;;Sat, Dec 10, 2022;Miami Heat;0
Sat, Dec 10, 2022;7:00p;Brooklyn Nets;136;Indiana Pacers;133;Box Score;;14,280;Gainbridge Fieldhouse;;season;;Sat, Dec 10, 2022;Brooklyn Nets;1;;Sat, Dec 10, 2022;Indiana Pacers;0
Sat, Dec 10, 2022;7:00p;Los Angeles Clippers;114;Washington Wizards;107;Box Score;;18,404;Capital One Arena;;season;;Sat, Dec 10, 2022;Los Angeles Clippers;1;;Sat, Dec 10, 2022;Washington Wizards;0
Sat, Dec 10, 2022;7:30p;Oklahoma City Thunder;102;Cleveland Cavaliers;110;Box Score;;19,432;Rocket Mortgage Fieldhouse;;season;;Sat, Dec 10, 2022;Oklahoma City Thunder;0;;Sat, Dec 10, 2022;Cleveland Cavaliers;1
Sat, Dec 10, 2022;8:00p;Dallas Mavericks;115;Chicago Bulls;144;Box Score;;19,528;United Center;;season;;Sat, Dec 10, 2022;Dallas Mavericks;0;;Sat, Dec 10, 2022;Chicago Bulls;1
