#	Player	Team	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	ORB	DRB	REB	AST	STL	BLK	TOV	PF	
32	Dwyane Wade	-	1054	35,775.9	23,165	8,454	17,618	.480	549	1,874	.293	5,708	7,463	.765	1,258	3,675	4,933	5,701	1,620	885	3,326	2,328	
33	Elgin Baylor	LAL	846	33,863.0	23,149	8,693	20,171	.431	0	0	.000	5,763	7,391	.780	0	0	11,463	3,650	0	0	0	2,596	
34	Clyde Drexler	-	1086	37,537.0	22,195	8,335	17,673	.472	827	2,603	.318	4,698	5,962	.788	2,615	4,062	6,677	6,125	2,208	717	2,987	3,285	
35	Gary Payton	-	1335	47,115.0	21,813	8,708	18,698	.466	1,132	3,570	.317	3,265	4,480	.729	1,392	3,877	5,269	8,966	2,445	285	3,030	3,217	
36	Larry Bird	BOS	897	34,440.0	21,791	8,591	17,334	.496	649	1,727	.376	3,960	4,471	.886	1,757	7,217	8,974	5,695	1,556	755	2,816	2,279	
37	Chris Paul *	-	1214	41,783.9	21,755	7,692	16,302	.472	1,642	4,448	.369	4,729	5,435	.870	741	4,716	5,457	11,501	2,544	194	2,888	2,926	
38	Stephen Curry *	GSW	882	30,303.0	21,712	7,434	15,653	.475	3,390	7,929	.428	3,454	3,801	.909	592	3,587	4,179	5,740	1,419	207	2,777	2,098	
39	DeMar DeRozan *	-	1031	35,471.3	21,685	7,790	16,652	.468	456	1,566	.291	5,649	6,725	.840	742	3,828	4,570	4,106	1,018	316	2,139	2,348	
40	Hal Greer	PHI	1122	39,788.0	21,586	8,504	18,811	.452	0	0	.000	4,578	5,717	.801	0	0	5,665	4,540	0	0	0	3,855	
41	Walt Bellamy	-	1043	38,940.0	20,941	7,914	15,340	.516	0	0	.000	5,113	8,088	.632	264	481	14,241	2,544	52	48	0	3,536	
42	Pau Gasol	-	1226	41,000.7	20,894	7,980	15,729	.507	179	486	.368	4,755	6,311	.753	3,085	8,220	11,305	3,925	606	1,941	2,638	2,632	
43	Bob Pettit	ATL	792	30,690.0	20,880	7,349	16,872	.436	0	0	.000	6,182	8,119	.761	0	0	12,849	2,369	0	0	0	2,529	
44	David Robinson	SAS	987	34,272.0	20,790	7,365	14,221	.518	25	100	.250	6,035	8,201	.736	3,083	7,414	10,497	2,441	1,388	2,954	2,417	2,835	
45	George Gervin	-	791	26,536.0	20,708	8,045	15,747	.511	77	259	.297	4,541	5,383	.844	1,186	2,422	3,608	2,212	942	670	2,138	2,331	
46	LaMarcus Aldridge	-	1076	36,242.0	20,558	8,311	16,872	.493	227	710	.320	3,709	4,563	.813	2,776	5,960	8,736	2,076	758	1,187	1,644	2,598	
47	Mitch Richmond	-	976	34,310.0	20,497	7,305	16,038	.455	1,326	3,417	.388	4,561	5,365	.850	881	2,920	3,801	3,398	1,211	254	2,579	2,500	
48	Joe Johnson	-	1277	44,232.3	20,407	7,823	17,720	.441	1,978	5,331	.371	2,783	3,468	.802	1,068	3,991	5,059	5,001	1,071	260	2,451	2,252	
49	Tom Chambers	-	1107	33,916.0	20,049	7,378	15,749	.468	227	739	.307	5,066	6,274	.807	1,942	4,761	6,703	2,283	886	626	2,547	3,742	
50	Antawn Jamison	-	1083	37,635.6	20,042	7,679	17,024	.451	1,163	3,365	.346	3,521	4,860	.724	2,557	5,600	8,157	1,761	1,048	421	1,714	2,579	
51	John Stockton	UTA	1504	47,764.0	19,711	7,039	13,658	.515	845	2,202	.384	4,788	5,796	.826	966	3,085	4,051	15,806	3,265	313	4,245	3,940	
52	Bernard King	-	874	29,413.0	19,655	7,830	15,109	.518	23	134	.172	3,972	5,444	.730	1,704	3,356	5,060	2,862	866	230	2,791	2,885	
53	Cliff Robinson	-	1380	42,557.8	19,591	7,389	16,875	.438	1,253	3,515	.356	3,560	5,165	.689	1,852	4,454	6,306	3,094	1,402	1,388	2,501	4,176	
54	Walter Davis	-	1033	28,859.0	19,521	8,118	15,862	.512	157	577	.272	3,128	3,676	.851	889	2,164	3,053	3,876	1,280	133	2,541	2,455	
55	Dwight Howard	-	1242	39,454.2	19,485	7,051	12,016	.587	22	103	.214	5,361	9,455	.567	4,151	10,476	14,627	1,676	1,081	2,228	3,302	3,912	
56	Tony Parker	-	1254	38,278.6	19,473	7,777	15,830	.491	519	1,603	.324	3,400	4,525	.751	441	2,955	3,396	7,036	1,053	98	2,865	2,059	
57	Terry Cummings	-	1183	33,897.0	19,460	8,045	16,628	.484	44	149	.295	3,326	4,711	.706	3,183	5,447	8,630	2,190	1,255	650	2,200	3,835	
58	Jamal Crawford	-	1327	38,994.6	19,419	6,752	16,467	.410	2,221	6,379	.348	3,694	4,286	.862	466	2,482	2,948	4,541	1,179	271	2,476	2,008	
59	Damian Lillard *	POR	769	27,939.1	19,376	6,281	14,299	.439	2,387	6,410	.372	4,427	4,946	.895	469	2,784	3,253	5,151	733	239	2,186	1,477	
60	Bob Lanier	-	959	32,103.0	19,248	7,761	15,092	.514	2	13	.154	3,724	4,858	.767	1,843	4,853	9,698	3,007	777	1,100	1,112	3,048	
61	Eddie Johnson	-	1199	32,615.0	19,202	7,727	16,361	.472	562	1,679	.335	3,186	3,792	.840	1,786	3,046	4,832	2,550	739	180	2,071	2,964	
62	Gail Goodrich	-	1031	33,527.0	19,181	7,431	16,300	.456	0	0	.000	4,319	5,354	.807	453	651	3,279	4,805	545	72	390	2,775	
63	Reggie Theus	-	1026	34,593.0	19,015	7,057	14,973	.471	238	944	.252	4,663	5,644	.826	1,182	2,167	3,349	6,453	1,206	236	3,493	3,008	
64	Dale Ellis	-	1209	34,778.0	19,004	7,323	15,275	.479	1,719	4,267	.403	2,639	3,365	.784	1,533	2,668	4,201	1,746	974	183	1,771	2,480	
65	Scottie Pippen	-	1178	41,070.0	18,940	7,420	15,700	.473	978	3,002	.326	3,122	4,437	.704	2,068	5,426	7,494	6,135	2,307	946	3,257	3,329	
66	Jason Terry	-	1410	42,033.5	18,881	6,914	15,585	.444	2,282	6,010	.380	2,771	3,278	.845	502	2,772	3,274	5,415	1,603	275	2,415	2,577	
67	Chet Walker	-	1032	33,433.0	18,831	6,876	14,628	.470	0	0	.000	5,079	6,384	.796	245	593	7,314	2,126	117	10	0	2,727	
68	Isiah Thomas	DET	979	35,516.0	18,822	7,194	15,904	.452	398	1,373	.290	4,036	5,316	.759	952	2,526	3,478	9,061	1,861	250	3,682	2,971	
69	Bob McAdoo	-	852	28,327.0	18,787	7,420	14,751	.503	3	37	.081	3,944	5,229	.754	1,818	5,502	8,048	1,951	751	1,147	1,223	2,726	
70	Zach Randolph	-	1116	34,613.9	18,578	7,436	15,774	.471	199	729	.273	3,507	4,592	.764	3,279	6,929	10,208	2,049	834	301	2,290	2,629	
71	Mark Aguirre	-	923	27,730.0	18,458	7,201	14,865	.484	392	1,258	.312	3,664	4,944	.741	1,704	2,874	4,578	2,870	688	299	2,307	2,598	
72	Dolph Schayes	PHI	996	29,800.0	18,438	5,863	15,427	.380	0	0	.000	6,712	7,904	.849	0	0	11,256	3,072	0	0	0	3,432	
