Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Sat, Nov 5, 2022	5:00p	Sacramento Kings	126	Orlando Magic	123	Box Score	OT	18,846	Amway Center		
Sat, Nov 5, 2022	7:00p	Brooklyn Nets	98	Charlotte Hornets	94	Box Score		19,398	Spectrum Center		
Sat, Nov 5, 2022	7:30p	New Orleans Pelicans	121	Atlanta Hawks	124	Box Score	OT	17,654	State Farm Arena		
Sat, Nov 5, 2022	7:30p	Boston Celtics	133	New York Knicks	118	Box Score		19,812	Madison Square Garden (IV)		
Sat, Nov 5, 2022	8:00p	Oklahoma City Thunder	94	Milwaukee Bucks	108	Box Score		17,713	Fiserv Forum		
Sat, Nov 5, 2022	8:00p	Houston Rockets	117	Minnesota Timberwolves	129	Box Score		16,412	Target Center		
Sat, Nov 5, 2022	9:00p	San Antonio Spurs	101	Denver Nuggets	126	Box Score		19,641	Ball Arena		
Sat, Nov 5, 2022	10:00p	Portland Trail Blazers	82	Phoenix Suns	102	Box Score		17,071	Footprint Center		
Sun, Nov 6, 2022	3:30p	Cleveland Cavaliers	114	Los Angeles Lakers	100	Box Score		18,997	Crypto.com Arena		
Sun, Nov 6, 2022	6:00p	Washington Wizards	97	Memphis Grizzlies	103	Box Score		16,877	FedEx Forum		
Sun, Nov 6, 2022	6:00p	Chicago Bulls	104	Toronto Raptors	113	Box Score		19,800	Scotiabank Arena		
Sun, Nov 6, 2022	10:00p	Utah Jazz	110	Los Angeles Clippers	102	Box Score		16,111	Crypto.com Arena		
Mon, Nov 7, 2022	7:00p	Washington Wizards	108	Charlotte Hornets	100	Box Score		13,712	Spectrum Center		
Mon, Nov 7, 2022	7:15p	Houston Rockets	134	Orlando Magic	127	Box Score		15,441	Amway Center		
Mon, Nov 7, 2022	7:30p	Oklahoma City Thunder	103	Detroit Pistons	112	Box Score		16,223	Little Caesars Arena		
Mon, Nov 7, 2022	7:45p	New Orleans Pelicans	122	Indiana Pacers	129	Box Score		14,052	Gainbridge Fieldhouse		
Mon, Nov 7, 2022	8:00p	Phoenix Suns	88	Philadelphia 76ers	100	Box Score		20,347	Wells Fargo Center		
Mon, Nov 7, 2022	8:15p	Milwaukee Bucks	98	Atlanta Hawks	117	Box Score		17,494	State Farm Arena		
Mon, Nov 7, 2022	8:30p	Portland Trail Blazers	110	Miami Heat	107	Box Score		19,600	Kaseya Center		
Mon, Nov 7, 2022	8:45p	Toronto Raptors	97	Chicago Bulls	111	Box Score		21,142	United Center		
Mon, Nov 7, 2022	9:00p	Boston Celtics	109	Memphis Grizzlies	106	Box Score		17,371	FedEx Forum		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Mon, Nov 7, 2022	9:15p	New York Knicks	120	Minnesota Timberwolves	107	Box Score		14,524	Target Center		
Mon, Nov 7, 2022	9:30p	Denver Nuggets	115	San Antonio Spurs	109	Box Score		11,574	AT&T Center		
Mon, Nov 7, 2022	9:45p	Brooklyn Nets	94	Dallas Mavericks	96	Box Score		20,011	American Airlines Center		
Mon, Nov 7, 2022	10:00p	Sacramento Kings	113	Golden State Warriors	116	Box Score		18,064	Chase Center		
Mon, Nov 7, 2022	10:15p	Los Angeles Lakers	116	Utah Jazz	139	Box Score		18,206	Vivint Arena		
Mon, Nov 7, 2022	10:30p	Cleveland Cavaliers	117	Los Angeles Clippers	119	Box Score		16,516	Crypto.com Arena		
Wed, Nov 9, 2022	5:30p	Dallas Mavericks	87	Orlando Magic	94	Box Score		18,165	Amway Center		
Wed, Nov 9, 2022	7:00p	Portland Trail Blazers	105	Charlotte Hornets	95	Box Score		14,774	Spectrum Center		
Wed, Nov 9, 2022	7:00p	Denver Nuggets	122	Indiana Pacers	119	Box Score		14,069	Gainbridge Fieldhouse		
Wed, Nov 9, 2022	7:30p	Utah Jazz	125	Atlanta Hawks	119	Box Score		15,845	State Farm Arena		
Wed, Nov 9, 2022	7:30p	Detroit Pistons	112	Boston Celtics	128	Box Score		19,156	TD Garden		
Wed, Nov 9, 2022	7:30p	New York Knicks	85	Brooklyn Nets	112	Box Score		18,156	Barclays Center		
Wed, Nov 9, 2022	7:30p	Houston Rockets	109	Toronto Raptors	116	Box Score		19,800	Scotiabank Arena		
Wed, Nov 9, 2022	8:00p	New Orleans Pelicans	115	Chicago Bulls	111	Box Score		19,621	United Center		
Wed, Nov 9, 2022	8:00p	Phoenix Suns	129	Minnesota Timberwolves	117	Box Score		16,062	Target Center		
Wed, Nov 9, 2022	8:00p	Milwaukee Bucks	136	Oklahoma City Thunder	132	Box Score	2OT	15,180	Paycom Center		
Wed, Nov 9, 2022	8:00p	Memphis Grizzlies	124	San Antonio Spurs	122	Box Score	OT	13,507	AT&T Center		
Wed, Nov 9, 2022	10:00p	Los Angeles Lakers	101	Los Angeles Clippers	114	Box Score		19,068	Crypto.com Arena		
Wed, Nov 9, 2022	10:00p	Cleveland Cavaliers	120	Sacramento Kings	127	Box Score		13,816	Golden 1 Center		
Thu, Nov 10, 2022	7:00p	Dallas Mavericks	105	Washington Wizards	113	Box Score		18,320	Capital One Arena		
Thu, Nov 10, 2022	7:30p	Philadelphia 76ers	95	Atlanta Hawks	104	Box Score		16,066	State Farm Arena		
Thu, Nov 10, 2022	7:30p	Charlotte Hornets	112	Miami Heat	117	Box Score	OT	19,600	Kaseya Center		
Thu, Nov 10, 2022	8:00p	Portland Trail Blazers	106	New Orleans Pelicans	95	Box Score		14,289	Smoothie King Center		
Fri, Nov 11, 2022	7:00p	Denver Nuggets	112	Boston Celtics	131	Box Score		19,156	TD Garden		
Fri, Nov 11, 2022	7:00p	Phoenix Suns	97	Orlando Magic	114	Box Score		15,879	Amway Center		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Fri, Nov 11, 2022	7:30p	Detroit Pistons	112	New York Knicks	121	Box Score		19,812	Madison Square Garden (IV)		
Fri, Nov 11, 2022	8:00p	Toronto Raptors	113	Oklahoma City Thunder	132	Box Score		16,104	Paycom Center		
Fri, Nov 11, 2022	8:00p	Milwaukee Bucks	93	San Antonio Spurs	111	Box Score		15,642	AT&T Center		
Fri, Nov 11, 2022	9:30p	Minnesota Timberwolves	103	Memphis Grizzlies	114	Box Score		16,939	FedEx Forum		
Fri, Nov 11, 2022	10:00p	Cleveland Cavaliers	101	Golden State Warriors	106	Box Score		18,064	Chase Center		
Fri, Nov 11, 2022	10:30p	Sacramento Kings	120	Los Angeles Lakers	114	Box Score		17,849	Crypto.com Arena		
