Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Thu, Dec 8, 2022	8:30p	Houston Rockets	109	San Antonio Spurs	118	Box Score		13,140	AT&T Center		
Thu, Dec 8, 2022	10:00p	Denver Nuggets	121	Portland Trail Blazers	120	Box Score		18,189	Moda Center		
Fri, Dec 9, 2022	7:00p	New York Knicks	121	Charlotte Hornets	102	Box Score		17,696	Spectrum Center		
Fri, Dec 9, 2022	7:00p	Washington Wizards	111	Indiana Pacers	121	Box Score		15,039	Gainbridge Fieldhouse		
Fri, Dec 9, 2022	7:00p	Toronto Raptors	109	Orlando Magic	113	Box Score		17,008	Amway Center		
Fri, Dec 9, 2022	7:30p	Atlanta Hawks	116	Brooklyn Nets	120	Box Score		18,072	Barclays Center		
Fri, Dec 9, 2022	7:30p	Sacramento Kings	106	Cleveland Cavaliers	95	Box Score		19,432	Rocket Mortgage Fieldhouse		
Fri, Dec 9, 2022	7:30p	Los Angeles Lakers	122	Philadelphia 76ers	133	Box Score	OT	20,852	Wells Fargo Center		
Fri, Dec 9, 2022	8:00p	Detroit Pistons	103	Memphis Grizzlies	114	Box Score		17,103	FedEx Forum		
Fri, Dec 9, 2022	8:30p	Phoenix Suns	117	New Orleans Pelicans	128	Box Score		16,381	Smoothie King Center		
Fri, Dec 9, 2022	9:00p	Minnesota Timberwolves	118	Utah Jazz	108	Box Score		18,206	Vivint Arena		
Fri, Dec 9, 2022	10:00p	Milwaukee Bucks	106	Dallas Mavericks	105	Box Score		20,277	American Airlines Center		
Sat, Dec 10, 2022	5:00p	San Antonio Spurs	115	Miami Heat	111	Box Score		19,600	Kaseya Center		
Sat, Dec 10, 2022	7:00p	Brooklyn Nets	136	Indiana Pacers	133	Box Score		14,280	Gainbridge Fieldhouse		
Sat, Dec 10, 2022	7:00p	Los Angeles Clippers	114	Washington Wizards	107	Box Score		18,404	Capital One Arena		
Sat, Dec 10, 2022	7:30p	Oklahoma City Thunder	102	Cleveland Cavaliers	110	Box Score		19,432	Rocket Mortgage Fieldhouse		
Sat, Dec 10, 2022	8:00p	Dallas Mavericks	115	Chicago Bulls	144	Box Score		19,528	United Center		
Sat, Dec 10, 2022	8:30p	Boston Celtics	107	Golden State Warriors	123	Box Score		18,064	Chase Center		
Sat, Dec 10, 2022	9:00p	Utah Jazz	110	Denver Nuggets	115	Box Score		19,636	Ball Arena		
Sat, Dec 10, 2022	10:00p	Minnesota Timberwolves	118	Portland Trail Blazers	124	Box Score		18,324	Moda Center		
Sun, Dec 11, 2022	3:30p	Phoenix Suns	124	New Orleans Pelicans	129	Box Score	OT	18,681	Smoothie King Center		
Sun, Dec 11, 2022	6:00p	Los Angeles Lakers	124	Detroit Pistons	117	Box Score		20,190	Little Caesars Arena		
Sun, Dec 11, 2022	6:00p	Sacramento Kings	99	New York Knicks	112	Box Score		19,812	Madison Square Garden (IV)		
Sun, Dec 11, 2022	6:00p	Toronto Raptors	99	Orlando Magic	111	Box Score		16,891	Amway Center		
Sun, Dec 11, 2022	6:00p	Charlotte Hornets	113	Philadelphia 76ers	131	Box Score		19,765	Wells Fargo Center		
