Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Fri, Mar 31, 2023	7:00p	Orlando Magic	116	Washington Wizards	109	Box Score		16,411	Capital One Arena		
Fri, Mar 31, 2023	7:30p	Utah Jazz	114	Boston Celtics	122	Box Score		19,156	TD Garden		
Fri, Mar 31, 2023	7:30p	Atlanta Hawks	107	Brooklyn Nets	124	Box Score		17,849	Barclays Center		
Fri, Mar 31, 2023	7:30p	New York Knicks	130	Cleveland Cavaliers	116	Box Score		19,432	Rocket Mortgage Fieldhouse		
Fri, Mar 31, 2023	8:00p	Detroit Pistons	115	Houston Rockets	121	Box Score		15,844	Toyota Center		
Fri, Mar 31, 2023	8:00p	Los Angeles Clippers	94	Memphis Grizzlies	108	Box Score		16,376	FedEx Forum		
Fri, Mar 31, 2023	8:00p	Los Angeles Lakers	123	Minnesota Timberwolves	111	Box Score		18,978	Target Center		
Fri, Mar 31, 2023	10:00p	San Antonio Spurs	115	Golden State Warriors	130	Box Score		18,064	Chase Center		
Fri, Mar 31, 2023	10:00p	Sacramento Kings	138	Portland Trail Blazers	114	Box Score		18,389	Moda Center		
Fri, Mar 31, 2023	10:30p	Denver Nuggets	93	Phoenix Suns	100	Box Score		17,071	Footprint Center		
